variable,count
depth_reading_10971diqflow_a_qc_tests,1
depth_reading_111010sgw_cal_z1,1
depth_reading_11129sgw_cal_z1,1
depth_reading_9142ysi_a,1
depth_reading_9392ysi_a,2
depth_reading_9402ysi_a,2
depth_reading_9412ysi_a,2
depth_reading_9421rb_a,2
depth_reading_9431rb_a,2
depth_reading_9481rb_a,2
depth_reading_9491hwl_a,2
depth_reading_9501rb_a,2
depth_reading_9501rb_a_qc_agg,1
depth_reading_9501rb_a_qc_tests,1
depth_reading_9531aysi_a,2
depth_reading_9531aysi_a_qc_agg,1
depth_reading_9531aysi_a_qc_tests,1
depth_reading_9531bysi_a,2
depth_reading_9531bysi_a_qc_agg,1
depth_reading_9531bysi_a_qc_tests,1
depth_reading_9531cysi_a,2
depth_reading_9531cysi_a_qc_agg,1
depth_reading_9531cysi_a_qc_tests,1
depth_reading_9531ysi_all_a,2
depth_reading_9531ysi_all_a_qc_agg,1
depth_reading_9531ysi_all_a_qc_tests,1
depth_reading_9542aysi_a,2
depth_reading_9542aysi_a_qc_agg,1
depth_reading_9542aysi_a_qc_tests,1
depth_reading_9542cysi_a,2
depth_reading_9542cysi_a_qc_agg,1
depth_reading_9542cysi_a_qc_tests,1
depth_reading_9542ysi_all_a,2
depth_reading_9542ysi_all_a_qc_agg,1
depth_reading_9542ysi_all_a_qc_tests,1
depth_reading_9615exo_a,2
depth_reading_9635exo_a,1
depth_reading_9661rb_a,2
depth_reading_9681dw_a,1
depth_reading_9691hwl_a,2
depth_reading_9701rb_a,2
depth_reading_9711rb_a,2
depth_reading_9721rb_a,2
depth_reading_9731hwl_a,2
depth_reading_9741hwl_a,2
depth_reading_9751hwl_a,2
depth_reading_9761hwl_a,2
depth_reading_9775exo_a,2
depth_reading_bottom,3
depth_reading_ocean,184
depth_reading_qc_agg,12
depth_reading_qc_tests,12
depth_reading_surface,3
depth_to_sea_floor,1
depth_to_water_level,1580
dew_point_temperature,2992
dew_point_temperature_938meta_a,2
dew_point_temperature_938meta_a_qc_agg,1
dew_point_temperature_938meta_a_qc_tests,1
dew_point_temperature_938metb_a,2
dew_point_temperature_938metb_a_qc_agg,1
dew_point_temperature_938metb_a_qc_tests,1
dew_point_temperature_qc_agg,74
dew_point_temperature_qc_tests,74
dissolved_carbon_dioxide_co2,2
dissolved_carbon_dioxide_co2_qc_agg,1
dissolved_carbon_dioxide_co2_qc_tests,1
dissolved_inorganic_carbon,6
dissolved_inorganic_carbon_qc_agg,5
dissolved_inorganic_carbon_qc_tests,5
dissolved_organic_carbon,21
dissolved_organic_carbon_qc_agg,21
dissolved_organic_carbon_qc_tests,21
downwelling_photosynthetic_photon_flux_in_sea_water,22
downwelling_photosynthetic_photon_flux_in_sea_water_10201aecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10201becp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10201cecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10201decp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10205aecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10205becp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10205cecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10205decp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10281becp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10281cecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10281decp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10285cecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10285decp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10311ahlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10311bhlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10311chlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_10311dhlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9394eco_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9395eco_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9404eco_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9405eco_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9521ahlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9521bhlm_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9611ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9616ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9631ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9636ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9771ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_9776ecp_a,1
downwelling_photosynthetic_photon_flux_in_sea_water_qc_agg,21
downwelling_photosynthetic_photon_flux_in_sea_water_qc_tests,21
downwelling_shortwave_flux_in_air,1
eastward_sea_water_velocity,19
eastward_sea_water_velocity_10001wh_a,1
eastward_sea_water_velocity_10021wh_a,1
eastward_sea_water_velocity_10041wh_a,1
eastward_sea_water_velocity_10103wh_a,1
eastward_sea_water_velocity_10104aqd_a,1
eastward_sea_water_velocity_10109advs_cal,1
eastward_sea_water_velocity_101111vecs_a,1
eastward_sea_water_velocity_101112vecs_a,1
eastward_sea_water_velocity_10115aqd_a,1
eastward_sea_water_velocity_10123aqd_a,1
eastward_sea_water_velocity_1012_a,1
eastward_sea_water_velocity_10132vecs_a,1
eastward_sea_water_velocity_10133aqd_a,1
eastward_sea_water_velocity_1013ds_a,1
eastward_sea_water_velocity_10141aqd_a,1
eastward_sea_water_velocity_10161hraqds_a,1
eastward_sea_water_velocity_10191aaqd_a,1
eastward_sea_water_velocity_10191baqd_a,1
eastward_sea_water_velocity_10191caqd_a,1
